id;vehicle_id;v_in;reg_num;status
1;37454;Directives application Home Loan Account;Dam;false
2;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;false
3;18182;Soap methodology Albania;Home Namibia;false
4;13949;zero administration;Multi-channelled Licensed;true
5;19967;Cambridgeshire Mississippi;HDD;true
6;17052;Small Frozen Sausages Planner;envisioneer Music Public-key;false
7;44015;Rubber Buckinghamshire Games;incentivize Tuna copy;false
8;52006;Mayotte;Industrial;true
9;77513;Markets Chief;capacitor archive;true
10;19598;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true
